opinion_id,cluster_id,date_filed,case_name,author,type,citation,page_count,url,download_url,classification,confidence,tags,notes,summary,reasoning,text_length,analyzed_date
11243468,https://www.courtlistener.com/api/rest/v4/clusters/10776881/,2024-11-04,Hamm v. Smith,N/A,010combined,N/A,5,https://www.courtlistener.com/opinion/10776881/hamm-v-smith/,https://www.supremecourt.gov/opinions/24pdf/604us1r01_2dq3.pdf,Center,High,[Capital Punishment;Criminal Justice;Eighth Amendment],[Capital Punishment - The case deals with the death sentence of an individual and whether he is intellectually disabled;Criminal Justice - This case falls under the criminal justice system as it involves a challenge to a death sentence;Eighth Amendment - The case involves the question of whether executing an intellectually disabled person violates the Eighth Amendment prohibition against cruel and unusual punishment],"[The Supreme Court vacated the Eleventh Circuit's decision regarding the death sentence of Joseph Clifton Smith, who was found to be intellectually disabled by the District Court. The Eleventh Circuit affirmed this decision. The Supreme Court's concern was that the Eleventh Circuit might have applied a per se rule focusing solely on the standard error of measurement of Smith's IQ score, rather than a holistic approach considering all relevant evidence. The case was remanded to the Eleventh Circuit to clarify the basis for its decision.]","[The Court does not take a definitive stance on whether Smith is intellectually disabled, nor does it create new precedent, but rather sends the case back to the lower court for clarification. This indicates a neutral position without leaning towards either conservative or liberal interpretations.]",5914,2026-01-23
11243467,https://www.courtlistener.com/api/rest/v4/clusters/10776880/,2024-11-22,"Facebook, Inc. v. Amalgamated Bank",N/A,010combined,N/A,4,https://www.courtlistener.com/opinion/10776880/facebook-inc-v-amalgamated-bank/,https://www.supremecourt.gov/opinions/24pdf/604us1r02_j4ek.pdf,Center,High,[Business/Commerce;Technology],"[Business/Commerce - The case involves Facebook, a major corporation, and a bank;Technology - The case involves a social media company, indicating a link to technology-related legal issues]","[The Supreme Court dismissed the writ of certiorari in the case of Facebook, Inc. v. Amalgamated Bank as improvidently granted. This means the court decided not to rule on the merits of the case, leaving the lower court's decision (the Ninth Circuit's) in place. The legal question and the Ninth Circuit's ruling are not detailed in this document.]","The decision is a procedural one (dismissing certiorari) and does not express any opinion on the underlying legal issues, so it cannot be classified along the political spectrum.",3806,2026-01-24
11243466,https://www.courtlistener.com/api/rest/v4/clusters/10776879/,2024-12-10,Bouarfa v. Mayorkas,N/A,010combined,N/A,16,https://www.courtlistener.com/opinion/10776879/bouarfa-v-mayorkas/,https://www.supremecourt.gov/opinions/24pdf/604us1r03_3f14.pdf,Conservative,High,Administrative Law;Immigration,"Administrative Law - The court defers to agency discretion in immigration matters, limiting judicial review;Immigration - The case concerns the revocation of a visa petition based on a prior sham marriage, impacting immigration processes.","The Supreme Court in Bouarfa v. Mayorkas addressed whether the Secretary of Homeland Security's decision to revoke a visa petition approval under 8 U.S.C. § 1155, based on a sham-marriage determination, is reviewable by federal courts. The Court held that such revocations are discretionary actions falling under 8 U.S.C. § 1252(a)(2)(B)(ii), which strips federal courts of jurisdiction to review agency actions deemed discretionary. The Court reasoned that § 1155 grants broad discretion to the Secretary, and neither the statutory text nor its context imposes conditions that would mandate revocation in specific instances, thus precluding judicial review.","The decision emphasizes deference to the executive branch and restricts judicial oversight of agency decisions, aligning with a conservative approach to administrative law and immigration matters.",15000,2026-01-24
11243465,https://www.courtlistener.com/api/rest/v4/clusters/10776878/,2024-12-11,NVIDIA v. E. Ohman J:or Fonder AB,N/A,010combined,N/A,4,https://www.courtlistener.com/opinion/10776878/nvidia-v-e-ohman-jor-fonder-ab/,https://www.supremecourt.gov/opinions/24pdf/604us1r04_5i36.pdf,Center,High,[Business/Commerce],[Business/Commerce - The case involves a corporation (NVIDIA) and a business matter (presumably a securities fraud claim based on the context of the amici briefs).],"The Supreme Court dismissed the writ of certiorari in NVIDIA Corp. v. E. Ohman J:or Fonder AB as improvidently granted. This means the Court decided not to hear the case after initially agreeing to do so. The legal question is not revealed in this brief excerpt, but the amici briefs suggest it relates to business law, possibly securities litigation.","The dismissal of the writ as improvidently granted is a procedural decision that does not reflect a particular political leaning. It indicates that the Court, after closer examination, determined the case was not suitable for its review, for reasons not evident in the document.",3943,2026-01-24
11243464,https://www.courtlistener.com/api/rest/v4/clusters/10776877/,2025-01-15,"E.M.D. Sales, Inc. v. Carrera",N/A,010combined,N/A,13,https://www.courtlistener.com/opinion/10776877/emd-sales-inc-v-carrera/,https://www.supremecourt.gov/opinions/24pdf/604us1r06_5ifl.pdf,Center,High,Employment;Business/Commerce,"Employment - The case concerns the application of the Fair Labor Standards Act and overtime pay exemptions;Business/Commerce - The case involves a company (EMD Sales, Inc.) and its business practices related to employee compensation","The Supreme Court addressed the standard of proof required for an employer to demonstrate that an employee is exempt from the minimum-wage and overtime-pay provisions of the Fair Labor Standards Act (FLSA). The Court held unanimously that the preponderance-of-the-evidence standard applies, reversing the Fourth Circuit's requirement of ""clear and convincing evidence."" The Court reasoned that the preponderance standard is the default in civil litigation, and neither the FLSA nor the Constitution requires a heightened standard in this context.","The decision is center because it applies a standard rule of evidence to a business context. It doesn't significantly expand or restrict worker rights, nor does it make a broad statement about labor law or federal power.",15000,2026-01-24
11243463,https://www.courtlistener.com/api/rest/v4/clusters/10776876/,2025-01-15,Royal Canin U. S. A. v. Wullschleger,N/A,010combined,N/A,25,https://www.courtlistener.com/opinion/10776876/royal-canin-u-s-a-v-wullschleger/,https://www.supremecourt.gov/opinions/24pdf/604us1r05_db8e.pdf,Center,High,[Federal Power;State Rights],"[Federal Power - The case concerns the limits of federal court jurisdiction, specifically supplemental jurisdiction;State Rights - The decision ultimately favors state courts by requiring the case to be remanded.]","The Supreme Court addressed the question of whether a federal court retains supplemental jurisdiction over state-law claims after the federal-law claims that initially enabled removal to federal court have been deleted from the complaint. The Court held that when a plaintiff amends the complaint to remove all federal-law claims, the federal court loses its supplemental jurisdiction over the remaining state-law claims, and the case must be remanded to state court. This decision is based on the text of 28 U.S.C. § 1367, along with other procedural rules, and it ensures that federal courts only adjudicate cases that merit a federal forum.","The decision is centered on statutory interpretation and procedural rules, balancing federal and state court authority rather than advancing a particular ideological agenda, thus it is classified as Center.",15000,2026-01-24
11243462,https://www.courtlistener.com/api/rest/v4/clusters/10776875/,2025-01-17,TikTok Inc. v. Garland,N/A,010combined,N/A,32,https://www.courtlistener.com/opinion/10776875/tiktok-inc-v-garland/,https://www.supremecourt.gov/opinions/24pdf/604us1r07_k536.pdf,Conservative,High,First Amendment;National Security;Technology;Federal Power;Administrative Law,"First Amendment - The Court applies intermediate scrutiny to a law that arguably restricts speech, deferring to the government's national security interests;National Security - The Court heavily defers to the government's assessment of national security risks posed by TikTok;Technology - The case involves a major technology platform and data collection concerns;Federal Power - The Court upholds a federal law restricting the operation of a foreign-owned application in the United States;Administrative Law - The Court shows deference to the government's regulatory solutions.","The Supreme Court upheld the ""Protecting Americans from Foreign Adversary Controlled Applications Act,"" which effectively bans TikTok in the United States unless it undergoes a qualified divestiture to remove foreign adversary control. The Court assumed, without deciding, that the Act was subject to First Amendment scrutiny, but applied intermediate scrutiny, finding the Act to be content-neutral and sufficiently tailored to address the government's important interest in preventing China from accessing the personal data of U.S. TikTok users. The court deferred to the government's assessment of national security risks.","The decision leans conservative by deferring to national security concerns, applying intermediate scrutiny to a potential First Amendment issue, and upholding a broad assertion of federal power over a technology platform.",15000,2026-01-24
11243461,https://www.courtlistener.com/api/rest/v4/clusters/10776874/,2025-01-21,Andrew v. White,N/A,010combined,N/A,31,https://www.courtlistener.com/opinion/10776874/andrew-v-white/,https://www.supremecourt.gov/opinions/24pdf/604us1r08_db8e.pdf,Liberal,High,Criminal Justice;Fourteenth Amendment;Capital Punishment,"Criminal Justice - The case involves a criminal conviction and sentencing, raising questions about fairness in the trial;Fourteenth Amendment - The decision centers on whether the introduction of certain evidence violated the Due Process Clause of the Fourteenth Amendment;Capital Punishment - The defendant was sentenced to death, making this a capital case and raising questions about whether the trial was fair.","The Supreme Court granted certiorari and vacated the Tenth Circuit's decision in Andrew v. White, holding that clearly established federal law provides that the Due Process Clause forbids the introduction of evidence so unduly prejudicial as to render a criminal trial fundamentally unfair. The Court found that Payne v. Tennessee established this principle as a holding, not mere dicta, and that the Tenth Circuit erred in concluding otherwise. The case was remanded to the Tenth Circuit to determine whether the state court's application of that law was reasonable as to the guilt or sentencing phase.","The Court sides with the defendant arguing the lower court incorrectly interpreted established precedent, and focuses its decision on the violation of due process and fairness in a criminal trial. This aligns with a more liberal interpretation of constitutional rights within the criminal justice system.",15000,2026-01-24
11243460,https://www.courtlistener.com/api/rest/v4/clusters/10776873/,2025-02-21,Hungary v. Simon,N/A,010combined,N/A,27,https://www.courtlistener.com/opinion/10776873/hungary-v-simon/,https://www.supremecourt.gov/opinions/24pdf/604us1r09_1b7d.pdf,Conservative,High,International Law;Property Rights,International Law - The case concerns the Foreign Sovereign Immunities Act and its application to a suit against a foreign nation;Property Rights - The case involves claims of expropriation of property during World War II.,"The Supreme Court addressed whether alleging the commingling of funds alone can satisfy the commercial nexus requirement of the Foreign Sovereign Immunities Act's (FSIA) expropriation exception, in a case brought by Jewish Holocaust survivors and their heirs against Hungary. The Court held that it cannot, requiring plaintiffs to trace the specific expropriated property or proceeds to the United States to overcome sovereign immunity.","The court adopts a strict interpretation of the FSIA, favoring sovereign immunity and requiring a clear connection between the expropriated property and commercial activity in the U.S. rather than a broader ""commingling theory."" This leans conservative as it limits the ability to sue foreign governments and prioritizes a more restrictive interpretation of the law.",15000,2026-01-24
11243459,https://www.courtlistener.com/api/rest/v4/clusters/10776872/,2025-02-21,Williams v. Reed,N/A,010combined,N/A,26,https://www.courtlistener.com/opinion/10776872/williams-v-reed/,https://www.supremecourt.gov/opinions/24pdf/604us1r11_2b8e.pdf,Liberal,High,[Civil Rights; Federal Power; State Rights; Fourteenth Amendment; Administrative Law; Employment],[Civil Rights - The case concerns the ability of individuals to sue state officials for violating their civil rights under 42 U.S.C. § 1983; Federal Power - The Court affirms the supremacy of federal law (specifically § 1983) over conflicting state laws; State Rights - The decision limits the ability of states to create procedural hurdles that effectively immunize state officials from federal civil rights lawsuits; Fourteenth Amendment - The plaintiffs alleged due process violations under the Fourteenth Amendment due to delays in processing their unemployment benefits claims; Administrative Law - The case involves challenges to the administrative processes of a state labor department; Employment - The case centers on unemployment benefits and the rights of unemployed workers.],"The Supreme Court held that Alabama's administrative exhaustion requirement, as applied, impermissibly immunizes state officials from lawsuits brought under 42 U.S.C. § 1983 challenging delays in the processing of unemployment benefits claims. The Court reasoned that the state requirement created a ""catch-22"" situation, preventing individuals from seeking judicial intervention to expedite the administrative process. The Court reversed the Alabama Supreme Court's decision, emphasizing that states cannot shield their officials from federal civil rights claims in this manner.","The decision prioritizes the enforcement of a federal civil rights statute (§ 1983) over a state procedural rule, preventing the state from effectively nullifying a federal cause of action. This aligns with a liberal approach of protecting individual rights against potential state overreach, thus limiting state power.",15000,2026-01-24
